Accession	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
MIMAT0027479	0.2855376	0.5975231	0.9312745	0.3783333	1.109789	0.6292055	0.4507652	0.2074575	0.4074043	0.2170017	0.05396354	0.4828317
MIMAT0027480	0.6199713	0.6025786	0.9644884	1.473256	1.29947	0.7847369	0.6870093	0.03650904	0.8706661	1.064487	0.4563324	0.695432
MIMAT0027481	0.974409	0.1188096	0.6378292	1.399305	0.668529	0.4844546	0.7255611	0.4771979	0.6234515	0.7574331	0.4222026	0.8739564
MIMAT0027482	5.295992	2.523277	3.057145	3.650627	2.646418	1.559236	3.391996	1.865393	2.918183	3.608721	3.519624	2.738961
MIMAT0027483	0.2905931	0.351228	0.6189655	1.56675	0.6578337	0.3998431	0.4558207	0.04629672	0.2594343	0.3169292	0.4575192	0.3459138
MIMAT0027484	0.8676574	0.8060341	1.017681	1.090276	1.137876	0.6639531	0.6486476	0.1007059	0.7405656	0.5363321	0.7072756	1.084187
MIMAT0027485	0.6226516	-0.1265884	0.3332803	0.886821	0.7515695	0.1916074	1.240517	0.6051303	0.2347158	0.1451564	0.6793042	1.495961
MIMAT0027486	0.6553404	0.4018115	0.5536142	0.4519731	1.017872	0.4326706	0.5578696	0.1222553	0.8030884	0.5522755	0.3907224	0.5401689
MIMAT0027487	1.242513	1.534956	1.533442	2.586876	1.556962	1.438691	1.123932	1.681259	1.709358	1.129648	1.062192	2.557244
MIMAT0027488	4.701586	4.024804	2.840025	4.093588	3.380211	1.580494	4.143999	2.37606	2.411538	2.429878	2.92486	3.201365
MIMAT0027489	0.718143	1.134032	1.213938	1.702184	1.888294	0.3285806	1.060416	0.3212382	0.2878898	0.9449944	0.6067639	0.7464486
MIMAT0027490	0.2588961	0.2816219	0.3031639	0.3499242	0.616349	0.3998431	0.7860363	0.3675172	0.4814457	0.2016926	0.7017314	0.9131849
MIMAT0027491	0.2661752	0.5506727	1.109261	1.626119	0.8826535	0.4517491	0.5077267	0.2593635	0.8763549	0.2827236	0.8171971	0.3497452
MIMAT0027492	0.7521876	0.7124316	0.7212049	1.399305	1.131649	0.4700106	1.640862	0.5925897	0.8244489	0.9140112	0.9721471	1.406476
MIMAT0027493	0.8058569	2.651437	1.395575	3.501543	2.001919	1.269115	1.071965	1.368346	1.076023	1.414785	1.466818	1.775085
MIMAT0027494	0.6808087	1.09297	1.394494	1.836617	0.8209129	0.7282935	0.5862055	0.3649594	0.4023811	0.1300619	0.4600158	1.382453
MIMAT0027495	0.8624688	3.145425	1.145363	3.308987	2.15504	1.650269	1.745541	1.756451	0.7830559	1.48873	1.561707	1.495961
MIMAT0027496	4.71197	0.9855991	0.8596388	0.5009633	2.019404	0.8018787	1.46318	0.8813972	0.3830747	1.319418	0.7010804	1.493107
MIMAT0027497	1.378962	1.276741	1.848825	2.179468	1.854874	1.156915	1.26538	0.9881102	1.189743	0.636112	0.805606	1.035884
MIMAT0027498	1.647145	0.7846786	0.7912779	1.007118	1.419545	0.5976065	1.104017	0.6481127	0.6361859	1.388005	1.756869	0.9925201
MIMAT0027499	0.7101553	0.3476462	-0.05203184	0.3815053	0.4006049	0.6364068	0.4874017	0.4061196	0.2636166	0.4122389	-0.01602343	0.9470277
MIMAT0027500	4.564394	1.104364	2.601822	2.706198	3.690083	0.8750215	2.097271	1.399397	1.351973	3.255785	2.090274	2.913612
MIMAT0027501	1.135014	3.215726	2.451849	3.555847	1.921126	1.953734	2.558145	1.554073	1.614362	2.117687	2.66192	2.470566
MIMAT0027502	0.3980906	0.6568913	0.9571782	1.34391	1.36504	1.046801	0.6438541	0.2850032	0.4048424	0.4481462	0.7618667	1.53075
MIMAT0027503	0.4660158	0.378579	1.09149	0.4448688	1.106967	0.8872809	0.6531092	0.5679235	0.7997105	0.4720591	0.5757807	0.6658559
MIMAT0027504	1.136009	0.2428775	0.2644195	0.8942791	0.4718603	0.3458329	0.6265258	0.1342698	0.3373454	0.6061672	0.7771063	0.4175017
MIMAT0027505	0.6983865	0.06495488	0.9508505	1.573383	0.9934504	0.720252	0.7097277	0.4025004	0.5943041	0.9924264	0.8058269	1.047922
MIMAT0027506	6.085744	4.333292	4.247298	5.233068	4.473947	4.394652	4.496031	4.303759	4.268188	4.293161	3.246615	3.794589
MIMAT0027507	0.6199713	0.4463031	0.8171386	0.4406716	0.5949122	0.6221661	0.7155007	0.4663535	0.5574862	0.857605	1.159808	0.7321917
MIMAT0027508	0.05732346	0.6293577	0.5799171	0.3973421	0.6187853	0.4381824	0.7289742	0.2548754	0.7139418	0.8847505	0.1080662	0.207577
MIMAT0027509	0.6996081	0.5973649	0.5786735	0.7573539	1.175487	0.634261	0.696887	0.2662281	0.510389	0.5482078	0.6514335	0.7822882
MIMAT0027510	4.374946	0.9124138	1.629154	3.037159	2.830989	0.5365524	2.419533	0.3295267	1.489022	1.690127	2.525796	2.932623
MIMAT0027511	1.453041	2.539376	2.47213	3.075827	2.865886	1.378762	2.197859	1.146145	1.967769	1.245829	1.069061	3.055594
MIMAT0027512	1.599452	0.6453634	0.3421273	0.353503	1.154715	0.634261	0.6951934	0.388922	0.5123102	0.2995262	0.5808535	0.9108881
MIMAT0027513	0.2475823	0.610226	0.5900179	1.097117	0.8410743	0.615101	0.6014298	0.3925007	0.4880406	0.5602046	0.4120063	0.4677468
MIMAT0027514	0.3397446	0.3652167	0.3867587	0.8903832	0.7113266	0.4489946	0.9366912	0.004248768	0.2355978	0.09467086	0.4083913	0.6543335
MIMAT0027515	0.1353763	0.4598642	0.7175208	0.3499243	0.9344208	0.7780601	0.6393198	0.2074575	0.6348295	0.4090895	0.3359613	0.6905944
MIMAT0027516	0.6455316	0.7030345	0.4581425	0.4503801	1.026723	0.3998431	0.5562766	0.418061	0.5681965	0.6752867	0.6033052	1.21495
MIMAT0027517	-0.03466755	0.07030717	0.9028655	0.7746288	0.5990293	0.4152097	0.4558207	0.345732	0.6541634	0.598709	0.2907367	0.918637
MIMAT0027518	0.2905931	0.6025786	0.1546926	0.2193185	0.6505322	0.5036553	0.5692357	0.5059157	0.2320356	0.3579108	0.6265501	0.4569089
MIMAT0027519	0.3342566	0.2473039	0.5404165	1.353397	0.8656595	0.6015663	0.7152475	0.1921173	0.6005338	0.2612341	0.6234291	0.4699568
MIMAT0027520	1.211408	0.2794383	0.6091778	1.12382	1.200818	0.652473	0.8745404	0.604794	0.4281855	1.324172	0.8140272	0.2741431
MIMAT0027521	0.3629399	0.665065	0.5423502	0.5546673	0.6843384	0.3680182	0.9094608	0.588921	0.5158889	0.6639289	0.3025704	0.6947995
MIMAT0027522	-0.01828915	0.352738	0.3644302	0.3462877	0.6494994	0.3899767	0.7265364	0.2796324	0.4947027	0.598709	0.3517168	0.5265976
MIMAT0027523	0.5900578	0.09708977	0.3675207	0.009543031	0.268558	0.4663432	0.3953681	0.3625873	0.2021221	0.170509	0.3254399	0.3381971
MIMAT0027524	0.6199713	0.4081821	0.6324484	0.8868209	1.073626	0.4950694	0.722984	0.4503091	0.6111153	0.3155323	1.077452	1.504351
MIMAT0027525	0.4072106	0.4981107	0.7014685	0.8321061	0.981721	0.07976481	0.7544283	0.2621723	0.5851412	0.3618563	0.3670321	0.3499548
MIMAT0027526	1.139515	1.572063	0.291121	0.7665469	0.8872615	0.5365205	0.8999014	0.9925438	0.5158889	0.8162707	0.2052815	0.8552066
MIMAT0027527	0.6940808	0.5769724	0.6287444	1.269891	1.225558	0.8616747	1.237067	0.5669835	0.9193767	0.5420343	0.6988035	1.094082
MIMAT0027528	0.7337874	0.3015541	0.7229939	1.605118	0.588508	0.8400746	0.8302161	0.3925007	0.8244489	0.712525	0.7913423	0.9303708
MIMAT0027529	0.4087632	0.2088697	0.4557773	0.0315088	0.7662162	0.3998431	0.855126	0.03650904	0.6340591	0.2802936	0.3397422	0.5833989
MIMAT0027530	1.668442	0.5002761	0.9694182	0.3227968	0.3826945	0.3550065	0.8704873	0.3461905	0.4028094	0.9140113	0.5294706	0.8985716
MIMAT0027531	0.7123381	0.2468394	0.510572	0.5295426	1.281682	0.2175336	0.3883311	0.4582541	0.4239344	0.4990403	0.3878112	1.011659
MIMAT0027532	4.939501	0.9301043	2.005596	1.452655	3.053237	0.8275104	3.139508	0.7333065	0.7091384	2.686068	3.411908	3.57578
MIMAT0027533	0.3231597	0.3166413	0.3381833	0.3505003	0.6399899	0.3268123	0.9437051	0.5007632	0.568048	0.3071415	0.5757807	0.2374138
MIMAT0027534	0.6199713	0.6028645	0.4488649	0.3496383	0.9189479	0.5435774	0.8151655	0.4897146	0.2610224	0.5955139	0.511807	0.4544227
MIMAT0027535	0.2026117	0.2132462	0.1713499	0.9580999	0.8870702	-0.03798485	0.5270996	0.2755331	0.2132473	0.8377331	0.3914863	0.3081166
MIMAT0027536	1.341559	0.3160652	0.4445383	0.6601989	1.259265	0.6552535	1.069175	0.3029353	0.1925352	0.6174161	0.8094953	0.7975255
MIMAT0027537	0.6199713	0.6025786	0.3558888	0.8713405	0.7308161	0.6593779	0.4558207	0.3925008	0.6208443	-0.1971967	0.3721761	0.2551193
MIMAT0027538	2.504004	0.2239376	0.1252007	1.476468	1.103418	0.5015772	1.02811	0.4696639	0.2724865	0.7016048	0.5243503	0.4236782
MIMAT0027539	0.619996	0.9633657	0.6601297	2.641364	1.908263	0.5287626	1.268665	0.9880781	1.15234	1.453753	0.8842314	1.230378
MIMAT0027540	0.267261	0.5917489	0.3861536	1.027113	0.9458159	0.5401354	0.6997134	0.4533305	0.8859184	0.9802332	0.6243271	0.6658884
MIMAT0027541	0.5972435	0.6027834	0.9158283	1.399305	0.6778805	0.4908831	0.9684335	0.2043627	0.538686	0.598709	0.3555583	0.9448819
MIMAT0027542	4.766885	1.968991	1.417309	1.50306	2.036777	1.11538	3.174944	0.7666768	1.447487	1.626263	2.162403	3.250108
MIMAT0027543	0.6722404	0.05494058	0.5267867	1.167299	1.54892	0.634261	1.139055	0.2074575	0.7050684	0.7163935	0.5445328	0.6148661
MIMAT0027544	0.5663892	0.3160652	0.5674052	0.8332388	0.8109745	0.399843	1.171591	0.2074575	0.4892948	0.5721149	0.8140271	0.8848657
MIMAT0027545	0.6199713	0.1346154	0.3376072	0.429599	0.8718591	0.4795179	0.8996822	0.5812776	0.2320356	0.5361474	0.5870928	1.294625
MIMAT0027546	0.7408521	0.4861207	0.5207002	0.9402642	0.5810345	0.3624879	0.9622439	0.3857127	0.4102908	0.8536526	0.4087966	0.1171178
MIMAT0027547	0.6045685	0.984033	0.6091778	1.707984	1.309064	0.6924285	0.9622439	0.7733038	1.005163	0.4878556	0.6640331	0.6751916
MIMAT0027548	3.163666	0.4403666	0.1753953	0.3499242	1.035213	0.4497414	0.7268105	0.2911229	0.5268437	0.5898198	0.3553534	0.5892166
MIMAT0027549	0.290593	0.3160652	0.6596801	0.9373232	0.9035484	0.1842327	1.284568	0.3412495	0.5606914	0.6492112	0.2029644	0.9636103
MIMAT0027550	0.8272744	0.1794578	0.8505462	1.305045	1.378629	0.4180647	0.6631238	0.4983304	0.6570727	1.109625	0.6774198	0.6387531
MIMAT0027551	-0.02700412	0.8266649	0.7428606	1.399305	0.4735268	0.2398382	0.6811321	0.5740083	0.6067213	0.5312278	0.6540223	0.460924
MIMAT0027552	0.7726957	0.3160652	0.4944037	0.886821	0.9214447	0.6212848	0.8565099	0.1933055	0.2190594	0.3993897	0.15364	0.4912751
MIMAT0027553	0.4069017	0.08419025	0.6091779	0.3791739	1.266695	0.3435089	0.5480118	0.4217504	0.5368263	0.7009416	0.2881581	0.7931802
MIMAT0027554	0.7242114	0.350863	0.08952019	0.06725296	0.3963304	0.1842327	0.4558207	-0.07956797	0.5198865	0.3071415	0.8559693	0.6931663
MIMAT0027555	0.8489417	0.3563799	1.064697	0.5385834	0.6415873	0.7618136	0.5483933	0.3692891	0.1065682	0.2302921	0.2298861	0.9920336
MIMAT0027556	0.5880203	0.2841141	0.6031923	1.40529	0.6540315	0.6023099	1.031508	0.201472	0.7924979	0.9832758	0.6013524	0.4171455
MIMAT0027557	0.6134388	0.2275589	0.4064309	0.666835	0.9649568	0.5011434	0.8737376	0.3039944	0.493365	0.2606406	0.4168949	0.6905944
MIMAT0027558	0.4156684	0.1117623	0.7389684	-0.1326202	0.7301179	0.634261	0.4777113	0.1726939	0.311586	1.208215	0.3714778	0.4859264
MIMAT0027559	0.9376019	0.1232533	0.5962779	1.836617	0.9527116	0.634261	0.9622439	0.2074575	0.8244489	0.5095288	0.5389736	0.2368377
MIMAT0027560	0.6845569	1.676756	0.8008218	1.105952	2.437093	1.718496	0.6928495	0.4941295	0.57846	0.66128	0.3553534	0.9448819
MIMAT0027561	0.4772879	0.06559753	0.4664944	0.42472	0.5623329	0.1443457	0.3131372	0.1248176	0.4783633	0.2879606	0.7335717	0.4831654
MIMAT0027562	0.3590878	0.5230685	0.4025423	0.8782492	0.9846562	0.4544305	1.131697	0.2074576	0.5661244	0.8051913	1.388128	0.5090101
MIMAT0027563	0.4756877	0.05494064	0.4613217	1.27797	0.6827158	0.4899774	0.4285303	0.3958619	0.5505587	0.4331971	0.3900231	0.642827
MIMAT0027564	0.6537663	0.8987775	0.7161632	1.253327	1.116755	0.3665664	1.062887	0.755674	0.3403822	1.05953	0.8823588	1.127216
MIMAT0027565	0.5291159	0.53694	0.5307818	1.079996	0.8933669	0.3986409	0.6049713	0.2296836	0.4529104	0.8195838	0.03329659	0.6475973
MIMAT0027566	0.6137466	0.5963539	1.214133	0.886821	0.4900367	0.4370014	1.363538	0.4869557	0.8244489	0.7575881	0.6560179	0.9540561
MIMAT0027567	1.077269	0.323502	0.6059538	0.7187519	0.7515222	0.81695	0.2894244	0.03650904	0.5158889	0.6382481	0.7584697	0.8732833
MIMAT0027568	0.5517299	0.3738819	1.093504	0.1644306	0.8895726	0.1842327	0.631472	0.3554503	0.1637942	0.6113658	0.3553534	1.427719
MIMAT0027569	0.5260888	0.2688135	0.5619261	1.836617	1.43812	0.5765547	0.6997134	0.6279964	1.094633	0.9140112	0.2457055	0.8912692
MIMAT0027570	0.5240832	0.8165258	0.8195016	1.096545	0.870442	0.430072	0.6655449	0.361412	1.034173	0.8792293	0.3855823	0.8489937
MIMAT0027571	0.5582898	0.8992708	0.797819	1.17295	1.308678	0.6186646	0.9858424	0.6786298	0.8020179	0.497892	0.3490476	0.938576
MIMAT0027572	1.560363	0.6025785	0.6494083	1.038769	1.419813	0.3335657	1.840636	0.3345248	0.5438367	1.242467	1.37249	1.256683
MIMAT0027573	0.6199713	0.2363799	0.3376072	1.581777	0.7646466	0.3201578	0.4612374	0.3128154	0.1522556	0.4237421	0.26438	1.174805
MIMAT0027574	0.4008164	0.6932589	0.7529457	0.886821	0.9274608	0.5045574	0.3041213	0.2826053	0.5256968	0.5147241	1.212829	0.9957955
MIMAT0027575	1.266944	1.091375	2.008298	2.738768	1.72788	1.109405	1.707796	1.198503	1.376294	1.171618	1.516854	1.123843
MIMAT0027576	0.290593	0.5498735	0.3376072	1.51917	0.8670785	1.007146	0.5439273	0.6263091	0.5458552	0.5313667	0.5757807	0.9448818
MIMAT0027577	0.03061134	0.07794759	0.3710602	0.3565764	0.4593381	0.2939079	0.6683339	0.1650453	0.4734767	0.4475292	0.7450465	0.6905944
MIMAT0027578	0.5643066	0.3160652	0.6234038	0.9892021	0.8238738	0.7563278	0.8611761	0.3925007	0.7233813	0.488162	0.5900067	1.085858
MIMAT0027579	0.2520912	0.2722053	0.2939563	0.8429611	1.193585	0.4746501	0.6558535	0.2406872	0.4628195	0.3403711	-0.0007901788	0.5232278
MIMAT0027580	0.5512972	0.1221523	0.2858993	0.9818352	0.5902359	0.5962222	0.6888106	0.1315233	0.6109032	1.246233	0.8199829	0.6986248
MIMAT0027581	0.0543392	0.8650929	0.3537137	1.285877	0.5346184	0.462605	0.3423931	0.09402987	0.5967118	0.5355456	0.233285	0.2995996
MIMAT0027582	0.3281238	0.6971859	0.9028655	0.6024598	1.489981	0.887281	0.6997135	0.3773617	0.824449	0.9433988	1.158717	0.749683
MIMAT0027583	1.057039	0.6193204	0.9028655	0.3499243	0.7841278	0.4230794	1.002969	0.2074575	0.110305	0.3213167	0.8140272	1.311032
MIMAT0027584	0.3926926	0.7481701	0.4677186	1.546732	0.7936376	0.585348	0.856936	0.06599832	0.6570432	0.7626625	0.9276018	1.092309
MIMAT0027585	0.2424549	0.02274799	0.5530393	1.102253	0.8634781	0.3998431	0.659981	0.3305117	0.731321	1.203224	0.5519493	1.149042
MIMAT0027586	0.4750156	0.1631297	0.223522	0.7511221	0.6250277	0.3768247	0.4623327	0.06380031	0.5153013	0.3071414	0.3834805	0.5626117
MIMAT0027587	0.6160992	0.2468112	0.3337351	1.076461	0.6608126	0.3738723	0.9622439	0.3970971	0.6299839	0.3071415	0.540419	0.9392331
MIMAT0027588	0.02925023	0.6690228	0.2654077	0.6405188	0.6881186	0.3430786	0.6997134	0.1999976	0.508429	0.2503769	0.5677251	0.4759745
MIMAT0027589	0.4795569	0.5050291	0.4080337	0.7714705	0.9344208	0.4364609	0.5009356	0.1927451	0.5158889	0.1262872	0.616227	0.5248491
MIMAT0027590	0.1402639	0.330918	0.3197744	0.3269823	0.658957	0.3495973	0.944411	0.2223103	-0.02577686	0.3178954	0.5528388	0.8423327
MIMAT0027591	0.510568	0.9241723	0.6209363	1.375565	1.54892	0.619818	0.6757956	0.972031	0.6797079	0.762528	0.3928051	0.7023528
MIMAT0027592	1.008512	0.2182572	0.4515369	1.652774	0.3931509	0.5958252	0.8346785	0.1140553	0.8244489	0.598709	0.9898245	0.9448818
MIMAT0027593	0.009652048	0.6105503	0.9028655	1.399305	0.4134344	0.3652168	0.7041254	0.2154292	0.5591223	0.04604492	0.3168501	0.7687396
MIMAT0027594	0.537764	-0.07119861	0.8157532	0.4683305	0.4929081	0.236076	0.5660344	0.330328	0.4262639	0.4255477	0.4737596	1.099202
MIMAT0027595	0.5277778	0.510385	0.7668445	0.8610625	1.221864	0.2500621	0.5499325	0.2307519	0.7322553	0.5729505	0.4253653	0.477717
MIMAT0027596	1.187448	0.9124138	0.9028654	1.704151	1.248561	0.8299412	1.821886	0.4601238	0.4683081	0.4662431	0.8226725	1.082485
MIMAT0027597	0.8916043	1.223957	1.053721	1.43728	0.919679	0.8872809	1.031039	0.3102836	0.5036685	1.284208	0.6045499	1.005473
MIMAT0027598	0.6199713	0.5889599	0.1373808	0.6228189	0.648046	0.4034668	1.170868	0.6011244	0.2471179	0.598709	1.337893	1.149317
MIMAT0027599	0.6187228	0.6025786	0.6776149	1.257858	0.9344208	0.6285714	0.9609953	0.4871291	0.5158889	0.03033984	0.3811905	0.8034353
MIMAT0027600	5.59069	1.325033	1.315506	1.485022	3.564497	0.9729979	3.168493	0.9601575	0.7887634	1.3478	2.256351	3.121723
MIMAT0027601	0.396203	0.4593219	0.7822892	1.175536	1.57308	0.3942527	0.9864045	0.6144133	0.6767176	0.328965	0.5999414	0.4762462
MIMAT0027602	0.7083876	0.5178712	0.4006947	1.236229	0.9760151	0.2977293	0.8052291	0.3364417	0.7484168	0.8293039	0.4411944	0.5862461
MIMAT0027603	0.33804	0.3720995	0.07739061	1.324186	0.417567	0.634261	0.6875839	0.1620216	0.05374697	0.6278245	0.4366501	0.4544227
MIMAT0027604	0.4908449	-0.1674019	0.2084808	1.112406	0.253568	-0.03538939	0.469831	0.07833107	0.4022847	0.3211518	0.1357314	0.468433
MIMAT0027605	0.3172478	0.4053807	0.1788356	0.3266098	0.648046	0.2735481	0.4824755	0.2074575	0.5425437	0.3318759	0.1692711	0.7587996
MIMAT0027606	0.7456211	0.5500637	0.5716057	0.7143549	0.730351	0.3594009	0.7897778	0.4748057	0.3434228	0.5913088	0.5683805	1.070532
MIMAT0027607	-0.02342194	0.3420365	0.3918167	0.4080023	1.288378	0.634261	0.4408215	0.0215098	0.5688081	0.6534691	0.3201399	0.5125007
MIMAT0027608	0.6073493	0.5051062	0.5679803	0.886821	0.7914082	0.662147	0.8489106	0.2353435	0.4746915	0.3071415	0.8419132	0.4823086
MIMAT0027609	0.6019239	0.5845312	0.6381807	0.3318768	0.648046	0.6289924	0.6944448	-0.03519267	0.4978415	0.3361444	0.3843563	0.4544227
MIMAT0027610	0.8746289	0.3095982	0.3441778	1.275027	1.424642	0.8017437	0.6997133	0.3749403	0.7001714	0.561799	0.2387087	0.9452519
MIMAT0027611	-0.008422732	0.3664884	0.3730876	1.836617	0.9344207	0.6934665	0.8017032	0.4944906	0.8982142	0.598709	1.128267	0.5136281
MIMAT0027612	1.148681	0.6853281	0.6599507	1.735035	1.249531	0.6029273	0.9748476	0.3925008	0.9035127	0.9468443	0.7696729	1.042974
MIMAT0027613	0.3154016	0.6563308	0.3376072	0.5385529	1.509043	0.1842327	0.4558207	0.1487423	0.5406975	1.246233	0.1350394	0.7652091
MIMAT0027614	0.6834527	0.1969487	0.4457341	0.5958646	0.4908213	0.7423879	0.662408	0.2160361	0.1197074	0.008198738	1.177188	1.151469
MIMAT0027615	0.3653035	0.6772891	0.4542171	0.4246347	0.6854013	0.1842327	0.5336105	0.4672112	0.3609282	0.3818519	0.613136	0.3115482
MIMAT0027616	4.264428	1.315189	0.5414672	2.265872	3.03127	1.156915	2.762215	0.9713196	1.036818	2.912637	3.049128	3.078642
MIMAT0027617	1.752234	0.7235392	1.035746	1.733549	0.7922713	0.5562348	0.8278229	0.7645029	0.364908	1.618235	1.1597	0.811555
MIMAT0027618	0.1182964	0.4372825	0.6983173	0.6719853	1.001306	0.4667282	1.240517	0.1680604	0.6591529	0.402343	0.8140272	0.7574794
MIMAT0027619	0.3206178	0.7473207	1.048845	1.531587	0.9367826	0.3349075	1.268428	0.6688827	0.583976	0.608981	0.5089969	0.5255743
MIMAT0027620	0.5951213	0.2174102	0.5843277	0.886821	0.9095707	0.6094109	0.393784	0.2074575	0.5475289	0.9140112	0.8241173	0.7006845
MIMAT0027621	0.3863666	1.332149	0.6542547	1.622424	0.6999663	0.6730874	0.7480503	0.7991151	0.6856753	0.3344785	0.451127	0.7179314
MIMAT0027622	0.6199713	0.6717614	0.7344794	1.399305	0.454962	0.634261	0.7215914	0.03650904	0.5158889	0.6062423	0.6544542	0.7530419
MIMAT0027623	1.01694	0.6025786	0.6058782	0.7989587	1.074083	0.8704094	0.8164089	0.2041578	1.15234	0.4391751	0.8107275	0.617402
MIMAT0027624	1.146294	1.592772	1.10332	1.836617	2.115455	0.9640743	1.424266	0.5762503	0.9963341	1.091911	0.3186305	1.626086
MIMAT0027625	0.2905931	0.4770445	0.4844034	0.2578038	0.9809074	0.7617468	0.6976181	0.3542536	0.3961802	1.060807	0.5971508	0.8310778
MIMAT0027626	0.493753	0.5804574	0.6448185	2.142834	1.2163	0.4914439	0.9085603	0.5540248	0.4924925	0.3077792	0.8146649	0.9815165
MIMAT0027627	0.5900961	0.903318	0.3415366	1.770717	1.228349	0.308074	0.9622439	0.5266892	0.5198183	0.1812535	0.4791947	0.9150066
MIMAT0027628	0.2905931	0.3263949	0.4018002	1.191927	1.030068	0.3998431	0.727275	0.6415816	0.584639	0.6094242	0.6445308	0.9938738
MIMAT0027629	0.5467618	0.6025786	0.5363009	1.399305	0.8612112	0.5613841	0.7517511	0.1744203	0.4426793	0.5258321	0.4803703	0.5301241
MIMAT0027630	0.7380224	1.623075	0.4649315	0.8758585	0.9453832	0.311557	0.6997134	0.4435118	0.2999931	1.23527	1.137019	0.7416054
MIMAT0027631	0.5358632	1.061869	0.8775072	1.175761	0.7975007	0.6538443	1.016974	0.2270408	0.7990907	0.4565961	0.5757807	0.9644651
MIMAT0027632	-0.05619594	0.4108814	0.2785005	1.423015	1.237445	0.634261	0.3346024	0.3959595	0.1729288	0.4070118	0.616709	0.5577108
MIMAT0027633	0.4135396	0.3427467	0.6884182	1.233179	1.137398	1.036567	0.5335875	0.2263748	0.4158416	0.329439	0.7576596	0.3543753
MIMAT0027634	0.5451903	0.5277976	0.4432815	0.9833211	0.7445461	0.3639479	0.8970015	0.4981751	0.9209491	0.4318603	0.7327466	1.048102
MIMAT0027635	0.4070987	0.4666187	0.0486522	1.399305	0.8096268	0.3458135	0.2539182	0.5030798	0.1358039	0.09426883	0.381989	0.4777217
MIMAT0027636	0.665179	0.6477863	2.183414	1.355068	1.380159	0.2532383	0.9622439	0.3710985	0.3472975	0.4540862	0.8592348	1.070328
MIMAT0027637	0.57919	0.3160652	0.361459	0.3906771	0.8137145	0.1842326	0.6589321	0.06036082	0.4274796	0.6225607	0.3479062	0.6498667
MIMAT0027638	6.497024	2.700683	3.497345	4.228265	5.518132	2.073789	5.210377	2.208422	1.927135	4.827918	4.711706	5.042725
MIMAT0027639	0.4988416	0.2388262	0.6091778	1.155889	0.6910046	0.1704403	0.6397063	0.2846491	0.2584594	0.5278612	0.4006023	1.128767
MIMAT0027640	0.5312114	0.3558543	0.3813329	0.6508379	0.9344208	0.545501	0.8329859	0.2691502	0.7235944	0.3425466	0.2260954	0.73432
MIMAT0027641	0.433559	0.7497112	0.2120074	0.2636109	0.7705332	0.7245783	0.5783079	0.5584572	0.6818454	0.3071414	0.2749494	0.7955786
MIMAT0027642	0.4147307	0.2951938	0.482991	0.7622321	0.9300604	0.4389777	0.6382411	0.1228102	0.5158889	0.598709	0.8120397	0.8105949
MIMAT0027643	0.4405078	0.5102239	0.8117481	0.4846309	0.8814114	0.5454707	0.6997135	0.1903996	0.4222589	0.4570562	0.6230408	0.8127604
MIMAT0027644	0.4276181	0.0716469	0.3543135	0.886821	0.6647524	0.3212577	0.5928457	0.01551494	-0.009070516	0.8896245	0.5869183	0.8335177
MIMAT0027645	0.4269688	0.7008734	0.6661222	1.331341	1.044443	0.2991608	0.7843357	0.3995872	0.6168438	0.8460476	0.8760585	0.9639175
MIMAT0027646	0.290593	1.006354	1.300481	1.043817	0.8050419	0.5240861	0.7292824	0.4000463	0.948692	0.3071414	1.615096	1.371946
MIMAT0027647	0.1927665	0.08603869	0.1206183	0.3810223	0.9655188	0.634261	0.2624125	0.1445372	0.2631337	0.345603	0.6068789	0.6975436
MIMAT0027648	0.1926261	0.5349539	0.1291002	1.399305	0.648046	0.4347599	0.4558207	0.4032817	0.443591	0.598709	0.3187322	1.000146
MIMAT0027649	0.6155169	0.3116108	0.6091778	0.2132124	0.8565202	0.3927068	0.8741716	0.2109672	1.17231	0.3071415	0.3609363	0.4453118
MIMAT0027650	0.82129	0.7415755	0.6239768	0.9055763	0.7492391	0.1990317	0.6997134	0.05130804	0.3710324	0.4461383	0.3905991	0.722891
MIMAT0027651	0.4227528	0.8721561	0.5689201	1.845546	0.4229522	0.3860862	0.7399712	0.07676679	0.7841913	0.5584513	0.8918554	0.6503366
MIMAT0027652	0.02561516	0.647436	0.6378875	0.2192485	0.7876109	0.4481249	0.954475	0.08479086	0.7706506	0.1764657	0.6070209	0.2680779
MIMAT0027653	0.337734	0.6025786	0.6563188	0.4672571	1.245276	0.6193399	0.4636517	0.3721466	0.2320356	0.8936571	0.5608596	0.6702403
MIMAT0027654	0.3483691	0.6025786	0.1827345	0.886821	0.9594223	0.6076499	1.240517	0.5141912	0.5158889	0.5091236	0.5360043	0.5046351
MIMAT0027655	-0.06398058	0.6061974	0.6277394	0.9827945	0.9404091	0.8317231	0.4325222	0.5766373	0.5221678	0.3317651	0.5394899	0.9807266
MIMAT0027656	0.5374674	0.3907362	0.5266739	0.3628433	0.9344208	0.5550185	0.8139058	0.1256127	0.4340441	0.3200606	0.4817648	0.957801
MIMAT0027657	0.836097	0.4642666	0.2980348	0.279355	0.2735851	0.4581847	0.4558207	0.2384728	0.2320356	0.4090242	0.070952	0.5809662
